,active_cases,cases,country_name,deaths,deaths_per_1m_population,new_cases,new_deaths,region,serious_critical,tests_per_1m_population,total_cases_per_1m_population,total_recovered,total_tests
0,61,721,,15,0,0,0,,4,0,0,645,0
1,"875,636","1,091,067",USA,"63,657",192,"26,873","2,002",,"15,226","19,113","3,296","151,774","6,326,514"
2,"77,112","239,639",Spain,"24,543",525,"2,740",268,,"2,676","31,126","5,125","137,984","1,455,306"
3,"101,551","205,463",Italy,"27,967",463,"1,872",285,,"1,694","32,735","3,398","75,945","1,979,217"
4,"144,138","171,253",UK,"26,771",394,"6,032",674,,"1,559","13,286","2,523",N/A,"901,905"
5,"93,326","167,178",France,"24,376",373,758,289,,"4,019","7,103","2,561","49,476","463,662"
6,"32,458","162,530",Germany,"6,572",78,991,105,,"2,415","30,400","1,940","123,500","2,547,052"
7,"68,144","120,204",Turkey,"3,174",38,"2,615",93,,"1,514","12,255","1,425","48,886","1,033,617"
8,"93,806","106,498",Russia,"1,073",7,"7,099",101,,"2,300","23,915",730,"11,619","3,490,000"
9,"13,509","94,640",Iran,"6,028",72,983,71,,"2,976","5,516","1,127","75,103","463,295"
10,"43,544","85,380",Brazil,"5,901",28,"6,019",390,,"8,318","1,597",402,"35,935","339,552"
11,"28,643","53,021",Canada,"3,180",84,"1,424",184,,557,"20,886","1,405","21,198","788,283"
12,"29,349","48,519",Belgium,"7,594",655,660,93,,769,"20,532","4,186","11,576","237,963"
13,"34,271","39,316",Netherlands,"4,795",280,514,84,,783,"12,824","2,295",N/A,"219,744"
14,"25,520","36,976",Peru,"1,051",32,"3,045",108,,651,"9,652","1,121","10,405","318,252"
15,"24,640","34,862",India,"1,154",0.8,"1,800",75,,0,602,25,"9,068","830,201"
16,"4,449","29,586",Switzerland,"1,737",201,179,21,,167,"30,758","3,419","23,400","266,200"
17,"22,537","25,045",Portugal,989,97,540,16,,172,"38,814","2,456","1,519","395,771"
18,"22,476","24,934",Ecuador,900,51,259,17,,146,"3,914","1,413","1,558","69,054"
19,"19,428","22,753",Saudi Arabia,162,5,"1,351",5,,123,"5,745",654,"3,163","200,000"
20,"17,501","21,092",Sweden,"2,586",256,790,124,,531,"11,833","2,088","1,005","119,500"
21,"5,994","20,612",Ireland,"1,232",250,359,42,,123,"31,179","4,174","13,386","153,954"
22,"4,644","17,799",Mexico,"1,732",13,"1,047",163,,378,635,138,"11,423","81,912"
23,"12,007","16,473",Pakistan,361,2,948,18,,111,788,75,"4,105","174,160"
24,"14,910","16,169",Singapore,15,3,528,1,,22,"24,600","2,764","1,244","143,919"
25,"7,216","16,023",Chile,227,12,"1,138",11,,392,"9,443",838,"8,580","180,517"
26,"7,163","15,946",Israel,222,26,112,7,,105,"42,108","1,842","8,561","364,467"
27,"1,961","15,452",Austria,584,65,50,4,,128,"28,469","1,716","12,907","256,399"
28,"11,552","14,027",Belarus,89,9,846,5,,92,"18,692","1,484","2,386","176,625"
29,"11,172","13,965",Japan,425,3,70,12,,306,"1,299",110,"2,368","164,255"
30,"12,027","13,409",Qatar,10,3,845,0,,72,"32,801","4,654","1,372","94,500"
31,"8,997","12,877",Poland,644,17,237,20,,160,"8,931",340,"3,236","338,027"
32,"9,947","12,481",UAE,105,11,552,7,,1,"113,443","1,262","2,429","1,122,000"
33,"7,506","12,240",Romania,717,37,262,24,,221,"9,116",636,"4,017","175,374"
34,"1,459","10,765",S. Korea,247,5,4,1,,55,"12,091",210,"9,059","619,881"
35,"8,907","10,406",Ukraine,261,6,540,11,,138,"2,558",238,"1,238","111,859"
36,"7,804","10,118",Indonesia,792,3,347,8,,0,346,37,"1,522","94,599"
37,"2,160","9,158",Denmark,452,78,150,9,,62,"33,349","1,581","6,546","193,165"
38,"7,487","9,009",Serbia,179,20,285,6,,71,"9,802","1,031","1,343","85,645"
39,"6,877","8,488",Philippines,568,5,276,10,,31,950,77,"1,043","104,146"
40,"7,496","7,738",Norway,210,39,28,3,,37,"31,835","1,427",32,"172,586"
41,"7,339","7,667",Bangladesh,168,1,564,5,,1,393,47,160,"64,666"
42,"4,126","7,642",Czechia,235,22,63,8,,68,"22,606",714,"3,281","242,088"
43,"5,370","6,972",Dominican Republic,301,28,320,8,,144,"2,339",643,"1,301","25,368"
44,947,"6,753",Australia,91,4,7,2,,34,"22,104",265,"5,715","563,641"
45,"5,673","6,378",Panama,178,41,178,2,,92,"6,915","1,478",527,"29,837"
46,"4,522","6,211",Colombia,278,5,4,0,,118,"1,869",122,"1,411","95,085"
47,"1,729","6,002",Malaysia,102,3,57,2,,40,"4,953",185,"4,171","160,296"
48,"3,471","5,647",South Africa,103,2,297,0,,36,"3,499",95,"2,073","207,530"
49,"3,764","5,537",Egypt,392,4,269,12,,0,879,54,"1,381","90,000"
50,"1,784","4,995",Finland,211,38,89,5,,48,"16,947",902,"3,000","93,900"
51,"3,269","4,423",Morocco,170,5,102,2,,1,944,120,984,"34,841"
52,"2,813","4,285",Argentina,216,5,0,2,,157,"1,240",95,"1,256","56,058"
53,"2,459","4,024",Kuwait,26,6,284,2,,66,"41,915",942,"1,539","179,000"
54,"1,777","4,006",Algeria,450,10,158,6,,22,148,91,"1,779","6,500"
55,"2,599","3,897",Moldova,116,29,126,5,,237,"2,916",966,"1,182","11,763"
56,481,"3,784",Luxembourg,90,144,15,1,,23,"68,122","6,045","3,213","42,643"
57,"2,511","3,402",Kazakhstan,25,1,264,0,,41,"13,289",181,866,"249,527"
58,"1,532","3,040",Bahrain,8,5,119,0,,1,"76,220","1,787","1,500","129,694"
59,216,"2,954",Thailand,54,0.8,7,0,,61,"2,551",42,"2,684","178,083"
60,"1,882","2,775",Hungary,312,32,48,12,,54,"7,552",287,581,"72,951"
61,"1,077","2,591",Greece,140,13,15,1,,38,"7,212",249,"1,374","75,170"
62,"1,842","2,348",Oman,11,2,74,1,,17,"7,923",460,495,"40,459"
63,"1,847","2,171",Afghanistan,64,2,232,4,,7,257,56,260,"10,022"
64,617,"2,085",Iraq,93,2,82,1,,0,"2,289",52,"1,375","92,061"
65,659,"2,076",Croatia,69,17,14,2,,20,"8,823",506,"1,348","36,221"
66,"1,845","2,074",Ghana,17,0.5,403,1,,4,"3,653",67,212,"113,497"
67,"1,105","2,066",Armenia,32,11,134,2,,10,"7,129",697,929,"21,125"
68,897,"2,039",Uzbekistan,9,0.3,37,0,,8,"7,247",61,"1,133","242,536"
69,837,"1,832",Cameroon,61,2,0,0,,12,0,69,934,0
70,455,"1,804",Azerbaijan,24,2,38,1,,17,"14,112",178,"1,325","143,079"
71,117,"1,797",Iceland,10,29,0,0,,0,"141,873","5,266","1,670","48,413"
72,961,"1,757",Bosnia and Herzegovina,69,21,80,4,,4,"9,386",536,727,"30,793"
73,"1,370","1,728",Nigeria,51,0.2,0,0,,2,66,8,307,"13,689"
74,"1,388","1,689",Estonia,52,39,23,2,,9,"39,758","1,273",249,"52,741"
75,"1,174","1,506",Bulgaria,66,9,59,2,,40,"6,506",217,266,"45,208"
76,759,"1,501",Cuba,61,5,34,3,,10,"4,180",133,681,"47,347"
77,"1,159","1,495",Guinea,7,0.5,144,0,,0,0,114,329,0
78,216,"1,476",New Zealand,19,4,2,0,,1,"27,906",306,"1,241","134,570"
79,650,"1,465",North Macedonia,77,37,23,4,,13,"7,704",703,738,"16,050"
80,"1,105","1,429",Slovenia,91,44,11,2,,22,"25,469",687,233,"52,948"
81,849,"1,396",Slovakia,23,4,5,1,,8,"15,738",256,524,"85,922"
82,751,"1,385",Lithuania,45,17,10,0,,17,"46,121",509,589,"125,555"
83,687,"1,275",Ivory Coast,14,0.5,37,0,,0,366,48,574,"9,657"
84,934,"1,110",Bolivia,59,5,57,4,,3,496,95,117,"5,791"
85,445,"1,089",Djibouti,2,2,12,0,,0,"13,585","1,102",642,"13,422"
86,188,"1,038",Hong Kong,4,0.5,0,0,,4,"20,674",138,846,"154,989"
87,646,980,Tunisia,40,3,0,0,,20,"1,867",83,294,"22,062"
88,590,933,Senegal,9,0.5,51,0,,1,28,56,334,466
89,495,858,Latvia,15,8,9,0,,3,"30,689",455,348,"57,886"
90,687,850,Cyprus,15,12,7,0,,15,"48,129",704,148,"58,109"
91,272,773,Albania,31,11,7,1,,4,"2,868",269,470,"8,253"
92,621,771,Honduras,71,7,33,5,,10,368,78,79,"3,643"
93,276,746,Kyrgyzstan,8,1,17,0,,12,"7,889",114,462,"51,472"
94,235,745,Andorra,42,544,2,0,,17,"21,653","9,642",468,"1,673"
95,551,725,Lebanon,24,4,4,0,,44,"5,054",106,150,"34,499"
96,390,719,Costa Rica,6,1,6,0,,8,"2,575",141,323,"13,117"
97,246,713,Niger,32,1,0,0,,0,213,29,435,"5,148"
98,54,712,Diamond Princess,13,0,0,0,,4,0,0,645,0
99,502,663,Sri Lanka,7,0.3,14,0,,1,988,31,154,"21,157"
100,100,641,Burkina Faso,43,2,0,0,,0,0,31,498,0
101,203,630,Uruguay,15,4,5,0,,11,"5,474",181,412,"19,016"
102,542,601,Somalia,28,2,19,0,,2,0,38,31,0
103,504,585,Guatemala,16,0.9,28,0,,5,402,33,65,"7,200"
104,450,569,San Marino,41,"1,208",6,0,,6,"67,932","16,769",78,"2,305"
105,349,539,Georgia,6,2,22,0,,6,"3,689",135,184,"14,718"
106,300,539,Mayotte,4,15,79,0,,4,"10,996","1,976",235,"3,000"
107,111,537,Channel Islands,40,230,0,2,,0,"30,725","3,089",386,"5,342"
108,404,500,DRC,31,0.3,9,1,,0,0,6,65,0
109,329,490,Mali,26,1,8,1,,0,107,24,135,"2,172"
110,297,480,Tanzania,16,0.3,0,0,,7,0,8,167,0
111,450,468,Maldives,1,2,190,0,,2,"9,798",866,17,"5,296"
112,110,465,Malta,4,9,2,0,,1,"74,713","1,053",351,"32,989"
113,83,453,Jordan,8,0.8,2,0,,5,"6,247",44,362,"63,737"
114,372,442,Sudan,31,0.7,67,3,,0,0,10,39,0
115,101,429,Taiwan,6,0.3,0,0,,0,"2,639",18,322,"62,844"
116,120,420,Réunion,0,0,0,0,,2,0,469,300,0
117,235,396,Kenya,17,0.3,12,2,,2,377,7,144,"20,268"
118,360,396,Jamaica,7,2,0,0,,3,"1,348",134,29,"3,993"
119,267,395,El Salvador,9,1,18,0,,3,"3,709",61,119,"24,057"
120,266,344,Palestine,2,0.4,0,0,,0,"5,293",67,76,"27,000"
121,12,332,Mauritius,10,8,0,0,,3,"12,603",261,310,"16,028"
122,179,331,Venezuela,10,0.4,0,0,,2,"16,132",12,142,"458,737"
123,101,322,Montenegro,7,11,0,0,,2,"10,929",513,214,"6,864"
124,34,315,Isle of Man,21,247,2,0,,21,"36,656","3,704",260,"3,117"
125,305,315,Equatorial Guinea,1,0.7,0,0,,0,609,225,9,854
126,206,276,Gabon,3,1,0,0,,1,325,124,67,724
127,51,270,Vietnam,0,0,0,0,,8,"2,681",3,219,"261,004"
128,129,249,Paraguay,9,1,10,0,,1,"1,325",35,111,"9,454"
129,139,243,Rwanda,0,0,18,0,,0,741,19,104,"9,604"
130,192,220,Congo,9,2,13,1,,0,0,40,19,0
131,185,205,Guinea-Bissau,1,0.5,0,0,,0,762,104,19,"1,500"
132,3,187,Faeroe Islands,0,0,0,0,,0,"142,500","3,827",184,"6,963"
133,81,178,Martinique,14,37,3,0,,5,0,474,83,0
134,44,151,Guadeloupe,12,30,2,0,,11,0,377,95,0
135,117,150,Myanmar,6,0.1,0,0,,0,142,3,27,"7,718"
136,13,144,Gibraltar,0,0,3,0,,0,"77,944","4,274",131,"2,626"
137,80,141,Liberia,16,3,0,0,,0,0,28,45,0
138,13,138,Brunei,1,2,0,0,,2,"31,041",315,124,"13,580"
139,69,131,Ethiopia,3,0.03,1,0,,0,155,1,59,"17,842"
140,36,128,Madagascar,0,0,0,0,,1,117,5,92,"3,228"
141,31,126,French Guiana,1,3,1,0,,2,0,422,94,0
142,96,124,Sierra Leone,7,0.9,20,3,,0,0,16,21,0
143,3,122,Cambodia,0,0,0,0,,1,716,7,119,"11,975"
144,42,116,Togo,9,1,7,2,,0,831,14,65,"6,882"
145,36,116,Trinidad and Tobago,8,6,0,0,,0,"1,236",83,72,"1,730"
146,113,116,Cabo Verde,1,2,3,0,,0,"1,423",209,2,791
147,57,111,Bermuda,6,96,0,0,,10,"35,277","1,782",48,"2,197"
148,48,106,Zambia,3,0.2,9,0,,1,287,6,55,"5,284"
149,19,100,Aruba,2,19,0,0,,4,"15,838",937,79,"1,691"
150,87,100,Eswatini,1,0.9,9,0,,0,615,86,12,714
151,27,95,Monaco,4,102,0,0,,1,0,"2,421",64,0
152,26,82,Liechtenstein,1,26,0,0,,0,"23,605","2,151",55,900
153,35,81,Barbados,7,24,1,0,,4,"7,516",282,39,"2,160"
154,29,81,Uganda,0,0,0,0,,0,640,2,52,"29,279"
155,44,80,Bahamas,11,28,0,0,,1,0,203,25,0
156,52,78,Guyana,8,10,4,0,,3,660,99,18,519
157,61,76,Haiti,7,0.6,0,1,,0,68,7,8,776
158,64,76,Mozambique,0,0,0,0,,0,61,2,12,"1,896"
159,29,75,Sint Maarten,13,303,0,0,,7,"7,044","1,749",33,302
160,35,73,Chad,5,0.3,21,3,,0,0,4,33,0
161,62,73,Cayman Islands,1,15,0,0,,3,"23,356","1,111",10,"1,535"
162,30,64,Benin,1,0.08,0,0,,0,0,5,33,0
163,40,61,Libya,3,0.4,0,1,,0,284,9,18,"1,949"
164,8,58,French Polynesia,0,0,0,0,,1,"8,576",206,50,"2,409"
165,41,57,Nepal,0,0,0,0,,0,"1,963",2,16,"57,189"
166,40,50,CAR,0,0,0,0,,0,0,10,10,0
167,10,45,Macao,0,0,0,0,,1,0,69,35,0
168,19,43,Syria,3,0.2,0,0,,0,0,2,21,0
169,31,40,Zimbabwe,4,0.3,8,0,,0,514,3,5,"7,642"
170,13,39,Eritrea,0,0,0,0,,0,0,11,26,0
171,11,38,Saint Martin,3,78,0,0,,3,0,983,24,0
172,28,38,Mongolia,0,0,0,0,,0,"2,274",12,10,"7,455"
173,27,37,Malawi,3,0.2,1,0,,1,40,2,7,774
174,35,35,South Sudan,0,0,1,0,,0,0,3,0,0
175,18,27,Angola,2,0.06,0,0,,0,0,0.8,7,0
176,10,24,Antigua and Barbuda,3,31,0,0,,1,"1,154",245,11,113
177,8,24,Timor-Leste,0,0,0,0,,0,244,18,16,322
178,17,23,Botswana,1,0.4,0,0,,0,"2,784",10,5,"6,548"
179,7,20,Grenada,0,0,0,0,,4,"12,495",178,13,"1,406"
180,11,19,Laos,0,0,0,0,,0,265,3,8,"1,927"
181,7,18,Belize,2,5,0,0,,1,"2,502",45,9,995
182,6,18,Fiji,0,0,0,0,,0,"1,123",20,12,"1,007"
183,1,18,New Caledonia,0,0,0,0,,1,"15,608",63,17,"4,456"
184,2,17,Saint Lucia,0,0,0,0,,0,"2,429",93,15,446
185,2,16,Curaçao,1,6,0,0,,0,"2,090",98,13,343
186,3,16,Dominica,0,0,0,0,,0,"5,320",222,13,383
187,8,16,Namibia,0,0,0,0,,0,277,6,8,704
188,8,16,St. Vincent Grenadines,0,0,0,0,,0,973,144,8,108
189,9,15,Saint Kitts and Nevis,0,0,0,0,,0,"5,508",282,6,293
190,15,15,Tajikistan,0,0,15,0,,0,0,2,0,0
191,4,14,Nicaragua,3,0.5,1,0,,0,0,2,7,0
192,10,14,Sao Tome and Principe,0,0,6,0,,0,87,64,4,19
193,2,13,Falkland Islands,0,0,0,0,,0,"106,897","3,736",11,372
194,6,12,Turks and Caicos,1,26,0,0,,0,"2,144",310,5,83
195,6,11,Burundi,1,0.08,0,0,,0,24,0.9,4,284
196,2,11,Gambia,1,0.4,1,0,,0,166,5,8,401
197,8,11,Montserrat,1,200,0,0,,1,"7,212","2,204",2,36
198,0,11,Greenland,0,0,0,0,,0,"22,160",194,11,"1,258"
199,9,11,Vatican City,0,0,1,0,,0,0,"13,733",2,0
200,5,11,Seychelles,0,0,0,0,,0,0,112,6,0
201,1,10,Suriname,1,2,0,0,,0,689,17,8,404
202,7,9,MS Zaandam,2,0,0,0,,0,0,0,0,0
203,1,8,Mauritania,1,0.2,0,0,,0,222,2,6,"1,032"
204,8,8,Papua New Guinea,0,0,0,0,,0,68,0.9,0,604
205,2,7,Bhutan,0,0,0,0,,0,"13,018",9,5,"10,045"
206,3,6,Yemen,2,0.07,0,2,,0,4,0.2,1,120
207,2,6,British Virgin Islands,1,33,0,0,,0,0,198,3,0
208,0,6,St. Barth,0,0,0,0,,0,0,607,6,0
209,1,6,Western Sahara,0,0,0,0,,0,0,10,5,0
210,5,5,Caribbean Netherlands,0,0,0,0,,0,"4,195",191,0,110
211,0,3,Anguilla,0,0,0,0,,0,0,200,3,0
212,1,1,Comoros,0,0,1,0,,0,0,1,0,0
213,1,1,Saint Pierre Miquelon,0,0,0,0,,0,0,173,0,0
214,619,"82,862",China,"4,633",3,4,0,,41,0,58,"77,610",0
